Date,Open,High,Low,Close,Volume
31-Jan-12,7.45,7.62,7.34,7.60,222047
30-Jan-12,7.45,7.69,7.35,7.42,133685
27-Jan-12,7.25,7.72,7.12,7.63,425874
26-Jan-12,7.15,7.15,7.15,7.15,0
25-Jan-12,7.81,7.81,7.21,7.40,898593
24-Jan-12,8.66,8.66,8.66,8.66,0
23-Jan-12,8.88,9.55,8.59,9.18,1028440
20-Jan-12,8.74,9.05,8.62,8.80,415234
19-Jan-12,8.79,8.92,8.50,8.68,370903
18-Jan-12,8.58,8.85,8.40,8.51,337883
17-Jan-12,8.59,9.25,8.35,8.44,917512
13-Jan-12,8.35,8.35,8.35,8.35,0
12-Jan-12,8.60,8.60,8.60,8.60,0
11-Jan-12,8.41,8.79,8.30,8.39,331834
10-Jan-12,8.49,8.49,8.49,8.49,0
9-Jan-12,7.55,7.78,7.53,7.71,134093
6-Jan-12,7.68,7.88,7.45,7.57,81089
5-Jan-12,7.69,7.69,7.69,7.69,0
4-Jan-12,8.01,8.15,7.79,7.79,185395
3-Jan-12,7.75,8.20,7.69,7.91,415701
30-Dec-11,7.49,7.49,7.49,7.49,0
29-Dec-11,7.32,7.54,7.06,7.45,232614
28-Dec-11,7.51,7.61,7.30,7.37,133809
27-Dec-11,7.51,7.72,7.50,7.54,87774
23-Dec-11,7.56,7.56,7.56,7.56,0
22-Dec-11,7.71,7.71,7.48,7.56,109504
21-Dec-11,7.71,7.71,7.71,7.71,0
20-Dec-11,7.49,7.64,7.39,7.59,134546
19-Dec-11,7.80,7.90,7.20,7.29,171934
16-Dec-11,7.43,7.43,7.43,7.43,0
15-Dec-11,7.50,7.70,7.11,7.23,543006
14-Dec-11,7.40,7.50,7.24,7.34,151418
13-Dec-11,7.52,7.52,7.52,7.52,0
12-Dec-11,7.96,7.96,7.96,7.96,0
9-Dec-11,7.71,8.29,7.60,8.22,356513
8-Dec-11,7.85,7.98,7.57,7.65,198091
7-Dec-11,8.00,8.04,7.70,8.00,170068
6-Dec-11,8.49,8.49,7.92,8.06,248750
5-Dec-11,8.45,8.45,8.45,8.45,0
2-Dec-11,8.51,8.89,8.25,8.35,325764
1-Dec-11,8.05,8.41,7.88,8.26,268587
30-Nov-11,8.09,8.15,7.83,7.91,243745
29-Nov-11,7.90,7.99,7.50,7.57,141495
28-Nov-11,7.91,8.12,7.75,7.77,196490
25-Nov-11,7.58,7.77,7.37,7.51,95810
23-Nov-11,7.63,7.63,7.63,7.63,0
22-Nov-11,7.86,8.31,7.75,7.87,158143
21-Nov-11,8.55,8.56,7.60,7.97,455542
18-Nov-11,8.89,8.91,8.65,8.73,166939
17-Nov-11,9.36,9.38,8.36,8.67,524872
16-Nov-11,9.60,10.09,9.01,9.19,543128
15-Nov-11,9.51,10.29,9.35,9.79,778946
14-Nov-11,9.77,10.17,9.50,9.70,368706
11-Nov-11,9.37,10.27,9.32,9.71,736525
10-Nov-11,9.54,9.57,9.00,9.37,223282
9-Nov-11,9.62,9.84,9.08,9.21,546270
8-Nov-11,10.24,10.56,10.05,10.12,810544
7-Nov-11,9.16,10.18,9.16,9.99,918069
4-Nov-11,9.32,9.83,8.87,9.34,648260
3-Nov-11,8.73,9.75,8.45,9.39,922016
2-Nov-11,9.14,9.75,8.40,8.69,956301
1-Nov-11,10.08,10.20,8.28,8.83,2917641
31-Oct-11,7.57,11.20,7.21,10.93,3434364
28-Oct-11,7.09,7.83,6.89,7.59,525500
27-Oct-11,6.94,7.27,6.93,7.12,432746
26-Oct-11,6.89,7.03,6.32,6.66,182805
25-Oct-11,6.78,6.78,6.78,6.78,0
24-Oct-11,6.65,7.24,6.51,7.15,411335
21-Oct-11,6.47,6.47,6.47,6.47,0
20-Oct-11,7.06,7.14,6.75,6.89,231619
19-Oct-11,7.20,7.20,7.20,7.20,0
18-Oct-11,7.27,7.49,7.01,7.48,250779
17-Oct-11,7.49,7.71,7.07,7.35,210149
14-Oct-11,7.83,8.03,7.40,7.70,299879
13-Oct-11,7.55,7.55,7.55,7.55,0
12-Oct-11,7.44,7.74,7.30,7.56,671417
11-Oct-11,6.32,7.25,6.14,7.25,688163
10-Oct-11,6.10,6.35,5.94,6.28,410441
7-Oct-11,6.34,6.35,5.76,5.85,231389
6-Oct-11,6.13,6.13,6.13,6.13,0
5-Oct-11,5.84,5.93,5.50,5.88,274955
4-Oct-11,5.26,5.68,4.89,5.55,906129
3-Oct-11,6.50,6.50,5.35,5.44,743477
30-Sep-11,6.74,6.95,6.57,6.57,275336
29-Sep-11,7.44,7.51,6.85,6.99,347257
28-Sep-11,7.84,7.85,7.11,7.24,249688
27-Sep-11,7.75,7.95,7.58,7.65,385942
26-Sep-11,7.29,7.29,7.29,7.29,0
23-Sep-11,7.11,7.42,7.06,7.29,334041
22-Sep-11,7.45,7.49,6.87,7.22,859526
21-Sep-11,8.30,8.35,7.77,7.79,453102
20-Sep-11,9.40,9.84,8.08,8.19,1232371
19-Sep-11,9.02,9.39,8.91,9.21,402701
16-Sep-11,9.12,9.44,8.85,9.38,980755
15-Sep-11,8.45,9.26,8.22,8.99,1299364
14-Sep-11,8.27,8.48,8.15,8.30,317193
13-Sep-11,7.79,8.29,7.70,8.20,382049
12-Sep-11,7.61,7.95,7.60,7.83,175247
9-Sep-11,8.14,8.14,8.14,8.14,0
8-Sep-11,8.11,8.56,8.10,8.14,267761
7-Sep-11,8.40,8.57,8.25,8.40,427698
6-Sep-11,7.68,7.68,7.68,7.68,0
2-Sep-11,8.04,8.19,7.84,7.91,374230
1-Sep-11,8.72,8.78,8.22,8.30,418710
31-Aug-11,8.81,8.81,8.81,8.81,0
30-Aug-11,8.60,9.14,8.35,8.88,473139
29-Aug-11,8.40,8.75,8.21,8.65,380242
26-Aug-11,8.06,8.06,8.06,8.06,0
25-Aug-11,7.98,8.10,7.75,7.86,277524
24-Aug-11,8.00,8.15,7.61,7.90,228343
23-Aug-11,7.92,7.92,7.92,7.92,0
22-Aug-11,7.81,7.95,7.44,7.53,309177
19-Aug-11,7.46,7.46,7.46,7.46,0
18-Aug-11,7.88,8.07,7.51,7.64,708312
17-Aug-11,8.92,9.12,8.16,8.34,492145
16-Aug-11,9.15,9.27,8.75,8.89,477290
15-Aug-11,9.10,9.55,9.10,9.51,508470
12-Aug-11,8.64,9.14,8.54,8.95,656648
11-Aug-11,8.04,8.62,8.03,8.50,650809
